app_name,developer,app_url,rating,category
stoic. journal & mental health,Stoic app inc.,https://apps.apple.com/us/app/stoic-journal-mental-health/id1312926037?uo=4,4.82155,Health & Fitness
Reflectly - Journal & AI Diary,"Kodeon, Inc.",https://apps.apple.com/us/app/reflectly-journal-ai-diary/id1241229134?uo=4,4.5671,Health & Fitness
Reflection: AI Journal & Coach,Journal Better Inc.,https://apps.apple.com/us/app/reflection-ai-journal-coach/id1504547616?uo=4,4.73418,Health & Fitness
Day One: Daily Journal & Diary,Bloom Built Inc,https://apps.apple.com/us/app/day-one-daily-journal-diary/id1044867788?uo=4,4.83032,Health & Fitness
Confidants: AI Journal & Diary,"WAYNE STUDIOS, LLC",https://apps.apple.com/us/app/confidants-ai-journal-diary/id6760378081?uo=4,5.0,Health & Fitness
Mindsera: Daily AI Journaling,Mindsera OU,https://apps.apple.com/us/app/mindsera-daily-ai-journaling/id6742319153?uo=4,4.86522,Health & Fitness
Stoic Mentors - AI Journaling,Andrew Ausonio,https://apps.apple.com/us/app/stoic-mentors-ai-journaling/id6451347492?uo=4,5.0,Education
Clearful - Journal & Diary,Clearful Journal Inc.,https://apps.apple.com/us/app/clearful-journal-diary/id1513257639?uo=4,4.74532,Health & Fitness
Journal,Apple Inc.,https://apps.apple.com/us/app/journal/id6447391597?uo=4,4.78226,Health & Fitness
Confide - Video Journal,Von Ventures LLC,https://apps.apple.com/us/app/confide-video-journal/id6738400489?uo=4,4.69865,Health & Fitness
My Diary - Journal with Lock,"BetterApp Tech Co., Limited",https://apps.apple.com/us/app/my-diary-journal-with-lock/id1579321589?uo=4,4.74406,Lifestyle
Archive: AI-Powered Journaling,Momenta Lab LLC,https://apps.apple.com/us/app/archive-ai-powered-journaling/id1615879510?uo=4,4.25,Lifestyle
"Goodnotes: AI Notes, Docs, PDF",Goodnotes Limited,https://apps.apple.com/us/app/goodnotes-ai-notes-docs-pdf/id1444383602?uo=4,4.71626,Productivity
Thera AI Mental Health Journal,Thera Inc.,https://apps.apple.com/us/app/thera-ai-mental-health-journal/id1474161008?uo=4,4.77181,Health & Fitness
Marble: AI Journaling Guide,Matthew Walter,https://apps.apple.com/us/app/marble-ai-journaling-guide/id6479338137?uo=4,4.83333,Health & Fitness
minimee - AI Journaling & Mood,Cincy Labs LLC,https://apps.apple.com/us/app/minimee-ai-journaling-mood/id6745302697?uo=4,4.60667,Productivity
Resonance - AI Journaling,"Impactt Kids, inc.",https://apps.apple.com/us/app/resonance-ai-journaling/id6759477429?uo=4,5.0,Education
